land_description,latitude,longitude
SW-10-55-18-W4,53.73419539,-112.5977847
SW-10-55-18-W4,53.73420269,-112.6040612
NW-10-55-18-W4,53.74143315,-112.597746
NE-09-55-18-W4,53.74144548,-112.6103131
SW-15-55-18-W4,53.74887513,-112.6039775
SW-15-55-18-W4,53.74514223,-112.6040265
SE-16-55-18-W4,53.74514893,-112.6103052
SW-15-55-18-W4,53.7451349,-112.5977315
SE-16-55-18-W4,53.74887704,-112.6102634
NW-18-56-17-W4,53.84334138,-112.5296038
NW-13-56-18-W4,53.84337716,-112.5543672
NE-16-55-18-W4,53.75615679,-112.6101961
SW-11-56-18-W4,53.82155165,-112.572972
SW-11-56-18-W4,53.82156039,-112.5792621
NW-11-56-18-W4,53.82877962,-112.579242
SW-09-56-18-W4,53.82159002,-112.6286969
SW-16-56-18-W4,53.83251161,-112.6286778
SW-16-56-18-W4,53.83622664,-112.6286745
NW-09-56-18-W4,53.82880323,-112.6224151
SW-16-56-18-W4,53.83250559,-112.6224103
SW-09-56-18-W4,53.82158274,-112.6224209
NW-09-56-18-W4,53.82881016,-112.6286867
SE-10-56-18-W4,53.82156028,-112.585494
NE-10-56-18-W4,53.82877776,-112.5854661
SE-15-56-18-W4,53.83247694,-112.5854559
SW-15-56-18-W4,53.8324807,-112.5976428
SE-15-56-18-W4,53.83618279,-112.5854907
SW-15-56-18-W4,53.83618338,-112.5976569
SW-15-56-18-W4,53.83248929,-112.603912
SE-16-56-18-W4,53.83249461,-112.6101802
SW-15-56-18-W4,53.83619138,-112.6039123
NW-10-56-18-W4,53.82878618,-112.6039094
NE-09-56-18-W4,53.82879175,-112.6101788
SE-09-56-18-W4,53.82156764,-112.6101775
SE-12-56-19-W4,53.82158451,-112.6846489
SW-07-56-18-W4,53.82158475,-112.6783521
NW-07-56-18-W4,53.82880678,-112.6783526
SE-13-56-19-W4,53.83250815,-112.684639
SW-18-56-18-W4,53.83621051,-112.6783531
SE-13-56-19-W4,53.83621121,-112.6846352
SE-07-56-18-W4,53.82158398,-112.6597509
NW-07-56-18-W4,53.82881281,-112.6720295
SW-18-56-18-W4,53.83251536,-112.6720247
SE-18-56-18-W4,53.83253143,-112.6596734
SE-18-56-18-W4,53.83624274,-112.6597041
NE-07-56-18-W4,53.82882326,-112.6597039
NW-07-55-18-W4,53.741521,-112.6720745
SW-18-55-18-W4,53.74521692,-112.6720623
SW-18-55-18-W4,53.7489228,-112.6720596
NW-18-55-18-W4,53.75615094,-112.6720553
SE-18-55-18-W4,53.74891284,-112.6598334
NE-18-55-18-W4,53.75612944,-112.659794
SE-36-55-19-W4,53.79248563,-112.6846241
SW-19-55-18-W4,53.76338591,-112.678319
NW-19-55-18-W4,53.77060374,-112.6720542
NW-19-55-18-W4,53.77061379,-112.6783246
SE-30-55-18-W4,53.77428614,-112.6598048
SW-30-55-18-W4,53.77430746,-112.6720545
SE-30-55-18-W4,53.77799266,-112.6597962
SW-19-55-18-W4,53.76337698,-112.6720538
SE-19-55-18-W4,53.7633551,-112.659799
SW-06-55-18-W4,53.71991883,-112.6784021
SE-06-55-18-W4,53.71994343,-112.6599027
NW-06-55-18-W4,53.72712777,-112.6783743
SE-07-55-18-W4,53.73426757,-112.6599088
